AÑO,CBML,CLASE_ACCIDENTE,DIRECCION,DIRECCION ENCASILLADA,DISEÑO,EXPEDIENTE,FECHA_ACCIDENTE,FECHA_ACCIDENTES,GRAVEDAD_ACCIDENTE,MES,NRO_RADICADO,NUMCOMUNA,BARRIO,COMUNA,LOCATION,X,Y
2016,1013,Choque,CL 44 CR 48,CL  044   048  000 00000,Tramo de via,A000483361,19/10/2016 19:00:00,2016-10-20T00:00:00.000Z,Con heridos,10,1555902,10,Barrio Colón,La Candelaria,"[-75.5692012654, 6.2441073151]",834905.7,1182466.35
2016,1012,Choque,CR 50 CL 35,CR  050   035  000 00000,Tramo de via,A000482340,19/10/2016 16:19:00,2016-10-19T21:19:00.000Z,Solo daños,10,1555825,10,Perpetuo Socorro,La Candelaria,"[-75.5732340579, 6.23624660989]",834456.8,1181598.03
2016,0408,Choque,CL 67 CR 50 B,CL  067   050 B  000 00000,Tramo de via,A000483434,19/10/2016 12:10:00,2016-10-19T17:10:00.000Z,Solo daños,10,1555776,04,San Pedro,Aranjuez,"[-75.5618875868, 6.26387986631]",835721.5,1184651.38
2016,1006,Atropello,CR 57 CL 51,CR  057   051  000 00000,Tramo de via,A000483390,20/10/2016 08:30:00,2016-10-20T13:30:00.000Z,Con heridos,10,1555933,10,San Benito,La Candelaria,"[-75.5748751856, 6.25429155979]",834280.8,1183594.76
2016,1510,Choque,CR 50 FF CL 10 B Sur,CR  050 FF S 010 B  000 00000,Tramo de via,A000483406,20/10/2016 14:20:00,2016-10-20T19:20:00.000Z,Con heridos,10,1556035,15,Guayabal,Guayabal,"[-75.5851106931, 6.19765826038]",833129.86,1177332.94
2016,0112,Atropello,CR 23 CL 102,CR  023   102  000 00000,Tramo de via,A000483410,20/10/2016 11:00:00,2016-10-20T16:00:00.000Z,Con heridos,10,1556045,01,Carpinelo,Popular,"[-75.5384754295, 6.29025261427]",838321.25,1187561.54
2016,0516,Volcamiento,CR 65 CL 80,CR  065   080  000 00000,Tramo de via,A000483498,20/10/2016 13:00:00,2016-10-20T18:00:00.000Z,Con heridos,10,1555917,05,Terminal de Transporte,Castilla,"[-75.573496302, 6.27627044541]",834440.37,1186025.73
2016,0803,Choque,CR 45 CL 61,CR  045   061  000 00000,Interseccion,A000483500,20/10/2016 18:46:00,2016-10-20T23:46:00.000Z,Con heridos,10,1555913,08,San Miguel,Villa Hermosa,"[-75.5589314497, 6.25560329662]",836046.15,1183734.87
2016,1019,Otro,CR 50 CL 53,CR  050   053  000 00000,Tramo de via,A000483516,20/10/2016 21:00:00,2016-10-21T02:00:00.000Z,Con heridos,10,1555916,10,La Candelaria,La Candelaria,"[-75.5667049941, 6.25238843628]",835184.63,1183381.66
2016,,Atropello,CL 34 CR 113 D,CL  034   113 D  000 00000,Tramo de via,A000483523,20/10/2016 21:20:00,2016-10-21T02:20:00.000Z,Con heridos,10,1556123,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
2016,1422,Choque,CL 12 sur CR 43 A,CL S 012   043 A  000 00000,Tramo de via,A000483469,20/10/2016 07:10:00,2016-10-20T12:10:00.000Z,Solo daños,10,1555860,14,La Aguacatala,El Poblado,"[-75.57630192, 6.19348063731]",834103.78,1176868.03
